PC1	PC2
GSM1471838	1.07828872512598	0.69505907763861
GSM1471839	-1.02811170319936	0.700209987372077
GSM1471840	-0.953518873697424	0.228460991202482
GSM1471841	1.34442419018504	0.70988865887792
GSM1471842	-1.65917967752728	-0.432479311865485
GSM1471843	-0.898259370823958	-0.217956577289362
GSM1471844	1.17998086607016	0.172905326395133
GSM1471845	-1.13184448711514	0.672378247347379
GSM1471846	2.12848068785487	-1.02962753299623
GSM1471847	0.168253622395591	0.859588080844579
GSM1471848	0.632276672037715	-0.147075920563221
GSM1471849	1.70510365817046	-1.03927417939911
GSM1471850	0.0298128085265985	-0.089626151722797
GSM1471851	-0.35490598265116	0.340471300457299
GSM1471852	1.87797842171869	-0.307691000163782
GSM1471853	-0.802142547560351	0.237321074732907
GSM1471854	0.778520139628395	0.211437265995789
GSM1471855	-1.34335353607472	0.578605185717304
GSM1471856	-1.12969199342765	0.487402619328713
GSM1471857	0.568517732923674	-0.0324325918337826
GSM1471858	-1.80520277351511	-0.591719622406024
GSM1471859	-1.83884024067123	-1.36847965448255
GSM1471863	0.717146974267901	-0.518613600452698
GSM1471864	-0.13804818833719	1.39935321521744
GSM1471865	-0.151889424501833	0.670777017933975
GSM1471866	0.453841247231637	0.261698067154544
GSM1471867	0.0181190049973999	0.268360557582588
GSM1471868	0.83959766920141	-0.0682319828193499
GSM1471869	-1.77597468701648	-0.219596485562741
GSM1471870	1.11998446478565	0.0465724693783292
GSM1471871	-0.32536490881761	-0.57386177432156
GSM1471872	-0.328101820813503	-0.976616261953417
GSM1471873	1.3609275431222	-0.103170950024394
GSM1471874	-0.8984333477106	0.970822342308977
GSM1471875	-1.53216766749125	0.224573749185716
GSM1471876	0.481023912905061	-0.129076650879222
GSM1471877	-0.379181772169905	0.676772249188766
GSM1471878	0.364145099766074	1.36362296256973
GSM1471879	1.69286516983192	-0.381758768013452
GSM1471880	-1.23646179054178	-1.56416090458388
GSM1471881	0.509563339042194	0.921401036752865
GSM1471882	-1.54128275868296	-0.542321508385281
GSM1471883	-0.671407261371381	-0.822789515105659
GSM1471884	1.3626841051816	-1.24073100613896
GSM1471885	1.065314685427	-0.408720542043202
GSM1471886	-0.380598131484129	-0.827611337791055
GSM1471887	0.827112204804758	0.935942347614087
