PC1	PC2
GSM1471839	-0.45953813338695	0.710287892303058
GSM1471842	0.828866810060335	0.586982753766698
GSM1471847	-1.18596588701772	-0.509255223840822
GSM1471850	-0.272076844344144	-0.917043353641622
GSM1471853	-0.191766733657491	0.323073995239735
GSM1471855	-0.0500383168194279	0.556373229492602
GSM1471858	1.050667986358	0.683819584790776
GSM1471864	-1.37723965867829	-0.261419873771719
GSM1471867	-0.612074587058269	-0.521134942399279
GSM1471871	0.247244110094355	-0.556202832212709
GSM1471874	-0.685043570699649	0.299861617582767
GSM1471875	0.181042914225687	0.959592766656014
GSM1471877	-0.763541470529138	0.0832397972933661
GSM1471880	1.82163711452301	-1.11090119321095
GSM1471882	0.98417826438053	0.186671131604219
GSM1471886	0.483648002549164	-0.513945349652132
