"probeID"	"GeneSymbol"
"11715200_s_at"	"DUX4L2"
"11715200_s_at"	"DUX4L20"
"11715200_s_at"	"DUX4L21"
"11715200_s_at"	"DUX4L22"
"11715200_s_at"	"DUX4L23"
"11715200_s_at"	"DUX4L24"
"11715200_s_at"	"DUX4L25"
"11715200_s_at"	"DUX4L3"
"11715200_s_at"	"DUX4L4"
"11715200_s_at"	"DUX4L5"
"11715200_s_at"	"DUX4L6"
"11715200_s_at"	"DUX4L7"
"11715200_s_at"	"DUX4L8"
"11715201_s_at"	"DBET"
"11715201_s_at"	"DUX4"
"11715201_s_at"	"DUX4L1"
"11715201_s_at"	"DUX4L10"
"11715201_s_at"	"DUX4L11"
"11715201_s_at"	"DUX4L12"
"11715201_s_at"	"DUX4L13"
"11715201_s_at"	"DUX4L14"
"11715201_s_at"	"DUX4L15"
"11715201_s_at"	"DUX4L2"
"11715201_s_at"	"DUX4L20"
"11715201_s_at"	"DUX4L21"
"11715201_s_at"	"DUX4L22"
"11715201_s_at"	"DUX4L23"
"11715201_s_at"	"DUX4L24"
"11715201_s_at"	"DUX4L25"
"11715201_s_at"	"DUX4L3"
"11715201_s_at"	"DUX4L4"
"11715201_s_at"	"DUX4L5"
"11715201_s_at"	"DUX4L6"
"11715201_s_at"	"DUX4L7"
"11715201_s_at"	"DUX4L8"
"11715202_s_at"	"TCEAL1"
"11715203_s_at"	"ATP13A5"
"11715204_x_at"	"HIST2H2AC"
"11715205_x_at"	"PSG4"
"11715206_x_at"	"PSG4"
"11715207_at"	"WDFY4"
"11715208_s_at"	"CLCN6"
"11715209_s_at"	"SCAND1"
"11715210_s_at"	"PNMAL1"
"11715211_s_at"	"ZNF680"
"11715212_x_at"	"SCAND1"
"11715213_s_at"	"DUX1"
"11715213_s_at"	"DUX3"
"11715213_s_at"	"DUX5"
"11715214_at"	"MARK4"
"11715215_s_at"	"GRK7"
"11715216_s_at"	"UGT2B28"
"11715217_s_at"	"MOGAT2"
"11715218_s_at"	"FAM127A"
"11715219_s_at"	"HIST1H2AI"
"11715220_s_at"	"C2orf44"
"11715221_x_at"	"NSUN5"
"11715222_at"	"MAGI3"
"11715223_s_at"	"RNASE8"
"11715224_s_at"	"ACOXL"
"11715225_s_at"	"VPS54"
"11715226_s_at"	"PCDHA6"
"11715227_s_at"	"PCDHA7"
"11715228_s_at"	"SLC51B"
"11715229_s_at"	"GRIP2"
"11715230_s_at"	"PARD6A"
"11715231_x_at"	"RPL36"
"11715232_x_at"	"RPL36"
"11715233_s_at"	"SPATC1L"
"11715234_s_at"	"UCN"
"11715235_x_at"	"UQCRHL"
"11715236_s_at"	"PCDHGA12"
"11715237_s_at"	"RPL9"
"11715237_s_at"	"RPL9P25"
"11715237_s_at"	"RPL9P32"
"11715237_s_at"	"RPL9P7"
"11715237_s_at"	"TIPIN"
"11715238_x_at"	"RPL9"
"11715239_x_at"	"IFITM3"
"11715240_at"	"ZNF184"
"11715241_s_at"	"LCE1D"
"11715242_s_at"	"LCE3D"
"11715243_x_at"	"LCE1F"
"11715244_x_at"	"LCE1A"
"11715245_s_at"	"IGLL1"
"11715246_x_at"	"ADGRB1"
"11715247_s_at"	"DEPDC5"
"11715248_s_at"	"CRISP2"
"11715249_s_at"	"MAGEA12"
"11715250_s_at"	"KIAA0825"
"11715251_at"	"CHST7"
"11715252_at"	"RSRC1"
"11715253_s_at"	"KRTAP10-10"
"11715253_s_at"	"KRTAP10-6"
"11715254_s_at"	"DEFB134"
"11715254_s_at"	"LOC105379765"
"11715255_s_at"	"TAS2R30"
"11715256_at"	"XAGE3"
"11715257_x_at"	"XAGE3"
"11715258_s_at"	"PTMS"
"11715259_s_at"	"IFNA5"
"11715260_at"	"RRNAD1"
"11715261_s_at"	"HNRNPCL2"
"11715261_s_at"	"HNRNPCL3"
"11715261_s_at"	"HNRNPCL4"
"11715262_at"	"MTNR1A"
"11715263_at"	"SPEF2"
"11715264_s_at"	"UTS2R"
"11715265_at"	"FIG4"
"11715266_s_at"	"PKD1L3"
"11715267_s_at"	"EPPK1"
"11715268_s_at"	"GP1BB"
"11715268_s_at"	"SEPT5"
"11715268_s_at"	"SEPT5-GP1BB"
"11715269_x_at"	"ALG1L"
"11715270_s_at"	"KLF7"
"11715271_s_at"	"DBET"
"11715271_s_at"	"DUX4"
"11715271_s_at"	"DUX4L1"
"11715271_s_at"	"DUX4L10"
"11715271_s_at"	"DUX4L11"
"11715271_s_at"	"DUX4L12"
"11715271_s_at"	"DUX4L13"
