StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
-753.733349752824	237.304612982164	-516.42873677066	0.863220583808121
-82.0122242182013	171.733646393092	89.7214221748902	0.814947767583711
214.763081336854	273.569663346377	488.332744683231	0.779663045863568
-727.143639842564	918.287129408813	191.143489566249	0.806229908721742
853.693630923488	910.981566206338	1764.67519712983	0.649384878580966
589.483375389167	902.698846383564	1492.18222177273	0.679274850654547
-496.265808060517	670.159665206036	173.893857145518	0.807725286966246
-245.110302823429	779.768684215555	534.658381392126	0.775386856117867
-332.951629764373	1604.86338901567	1271.9117592513	0.702644458807973
-727.458394242373	633.800725376062	-93.6576688663109	0.830250519299599
-397.124443269607	1224.18137312378	827.05692985417	0.747577229665216
5.22399858133719	1516.57287113602	1521.79686971735	0.676078185230607
-46.0533496049233	927.132066830367	881.078717225444	0.742287025402694
-285.800156785466	568.24254142398	282.442384638513	0.798229317258411
-514.569960935945	1021.40601080309	506.836049867145	0.777959370730532
70.0461344183436	546.300656359488	616.346790777831	0.767759196336084
-408.078485283287	903.680483530355	495.601998247068	0.778994421144699
-151.032245710268	198.824485512041	47.7922398017727	0.81849918042834
-112.139567867849	763.762049475875	651.622481608026	0.764431134698526
-357.010748851072	784.560778211484	427.550029360412	0.785219012812278
968.219387961105	780.853621096977	1749.07300905808	0.651124794684322
831.883572805518	1479.92235972852	2311.80593253403	0.586282948529832
-768.32976590001	669.352960840058	-98.9768050599527	0.830685469647053
-523.648050400154	666.427869173589	142.779818773435	0.810409475595671
-424.428984260537	1279.04559735672	854.616613096184	0.744884238856393
-234.459013057993	1112.57111158526	878.112098527272	0.742578752441494
-975.48511529384	149.996666430022	-825.488448863818	0.885226750706873
-561.695669793286	493.300853714879	-68.3948160784067	0.828177848083975
-629.159178736875	520.820531780541	-108.338646956334	0.831449765354917
-391.808448837588	819.910382848696	428.101934011108	0.78516884539237
-634.008424603288	693.337415989631	59.3289913863425	0.817525100691395
267.166709897085	552.943823888351	820.110533785436	0.748254067094501
-705.382097367302	1005.09120986618	299.709112498882	0.796700056245012
-101.406626658613	660.918899214936	559.512272556323	0.773077872254123
61.964578238384	933.236600310302	995.201178548686	0.730958284276975
-630.015936214954	712.443510716895	82.4275745019404	0.815567780191188
-770.279421679221	297.764004943614	-472.515416735607	0.85994857560693
1.05585141555159	496.91477363372	497.970625049272	0.778776363626296
-308.500783938854	782.069297185151	473.568513246296	0.781018324117132
-408.593905287335	774.068540064845	365.474634777509	0.790828620915653
-1166.10745060911	521.42299845229	-644.684452156815	0.872571148480931
-646.262678940916	784.59163532538	138.328956384464	0.810792067965647
509.237331687705	1948.84767973325	2458.08501142095	0.568754475578628
-803.79351797809	441.169927910055	-362.623590068035	0.851604181973853
231.467935593431	926.025291148147	1157.49322674158	0.71449535347226
-55.1604795570172	1247.01400566584	1191.85352610882	0.710957509919465
-138.50489741065	1362.53599064783	1224.03109323718	0.707628006514443
-571.864515085127	941.317399955493	369.452884870366	0.7904710799948
423.726337185092	997.932173568287	1421.65851075338	0.686835530818714
-1102.64815762027	333.447221322842	-769.200936297424	0.881353264404871
