"GeneSymbol" "logFC" "adj.P.Val"
"SLC6A14" 4.36248621453532 0.346868382261602
"IGKV1-12" 4.24374828685447 0.0854183761081431
"IGKV1D-12" 4.24374828685447 0.0854183761081431
"OLFM4" 4.23198433552591 0.461129518525842
"DUOXA2" 3.40635433265933 0.279420321929917
"IGLL5" 3.31873567323634 0.357317206679523
"IGLV1-36" 3.31873567323634 0.357317206679523
"IGLV1-44" 3.31873567323634 0.357317206679523
"IGLV1-47" 3.31873567323634 0.357317206679523
"PI3" 3.28443071351029 0.279420321929917
"IGK" 3.26627295353059 0.299954624111483
"IGKC" 3.26627295353059 0.299954624111483
"IGKV1-16" 3.26627295353059 0.299954624111483
"IGKV1-5" 3.26627295353059 0.299954624111483
"IGKV1D-16" 3.26627295353059 0.299954624111483
"IGKV1D-17" 3.26627295353059 0.299954624111483
"IGKV1-39" 3.11962687234973 0.457010349299016
"IGKV1D-39" 3.11962687234973 0.457010349299016
"REG1A" 3.10597559805534 0.696549342562884
"PLA2G2A" 3.04265818649853 0.564522693548473
"C4BPB" 2.89807212174568 0.15814864821318
"MZB1" 2.70879704374088 0.357317206679523
"IGKV1-33" 2.67342194152113 0.51308510231501
"IGKV1D-33" 2.67342194152113 0.51308510231501
"TCN1" 2.6163291274705 0.582490606810193
"DHRS9" 2.58307324237655 0.383077550947659
"IGKV3-20" 2.55285411648294 0.409684901243949
"IGKV3D-20" 2.55285411648294 0.409684901243949
"IGHM" 2.55068248892171 0.385224690034532
"IGHG1" 2.52951612265061 0.508266545366265
"IGHG3" 2.52951612265061 0.508266545366265
"IGHV4-31" 2.52951612265061 0.508266545366265
"NLRP2" 2.42625587294613 0.160512117733364
"C4BPA" 2.42477873672804 0.42479190017389
"SPINK4" 2.39723510171425 0.774792398308353
"FCGBP" 2.36889647635032 0.68700573434118
"RGMB" 2.33458940771533 0.045879299001626
"IGH" 2.33059977783865 0.616247549424275
"IGHA1" 2.33059977783865 0.616247549424275
"IGHA2" 2.33059977783865 0.616247549424275
"IGLJ3" 2.31855023056241 0.243466083709219
"IGLV3-19" 2.31855023056241 0.243466083709219
"ANKRD36BP2" 2.24619233871152 0.381130836550658
"MCTP1" 2.16857049262692 0.0417465331280313
"IGHG2" 2.15762016920706 0.546792801019978
"VNN1" 2.14031991702578 0.458026555329949
"GSTT1" 2.13041879092301 0.0388000765211113
"TOR4A" 2.12845984160374 0.341321366568559
