ID	gene_symbol	n
11732899_s_at	SULT1A2	7
11732899_s_at	SULT1A3	7
11732899_s_at	SULT1A4	7
11732901_a_at	APOBEC3A	3
11732901_a_at	APOBEC3A_B	3
11732901_a_at	APOBEC3B	3
11732942_a_at	LOC101929876	2
11732942_a_at	RPS26	2
11732956_a_at	TARP	4
11732956_a_at	TRGC1	4
11732956_a_at	TRGC2	4
11732956_a_at	TRGV9	4
11732967_x_at	GAGE12B	12
11732967_x_at	GAGE12C	12
11732967_x_at	GAGE12D	12
11732967_x_at	GAGE12E	12
11732967_x_at	GAGE12F	12
11732967_x_at	GAGE12G	12
11732967_x_at	GAGE12H	12
11732967_x_at	GAGE12I	12
11732967_x_at	GAGE4	12
11732967_x_at	GAGE5	12
11732967_x_at	GAGE6	12
11732967_x_at	GAGE7	12
11732973_at	APLF	2
11732973_at	PROKR1	2
11733131_s_at	CCT8	2
11733131_s_at	CCT8P1	2
11733193_a_at	GTF2A1L	2
11733193_a_at	STON1-GTF2A1L	2
11733248_a_at	DBNDD2	2
11733248_a_at	SYS1-DBNDD2	2
11733282_s_at	KRBOX4	2
11733282_s_at	ZNF674	2
11733514_s_at	SPAG11A	2
11733514_s_at	SPAG11B	2
11733544_a_at	LOC100996693	2
11733544_a_at	SPEG	2
11733584_a_at	TM4SF19	2
11733584_a_at	TM4SF19-TCTEX1D2	2
11733609_x_at	TRIM73	2
11733609_x_at	TRIM74	2
11733697_s_at	CTAG1A	2
11733697_s_at	CTAG1B	2
11733769_s_at	RAB40A	2
11733769_s_at	RAB40AL	2
11733770_s_at	DEFB104A	2
11733770_s_at	DEFB104B	2
11733809_s_at	ARMCX5-GPRASP2	2
11733809_s_at	GPRASP2	2
11733844_a_at	AMACR	2
11733844_a_at	C1QTNF3-AMACR	2
11733907_s_at	CYP2D6	3
11733907_s_at	CYP2D7	3
11733907_s_at	LOC101929829	3
11733987_s_at	C7orf55-LUC7L2	2
11733987_s_at	LUC7L2	2
11733988_x_at	POLR2J2	3
11733988_x_at	POLR2J3	3
11733988_x_at	UPK3BL	3
11734023_a_at	CCDC144A	2
11734023_a_at	CCDC144B	2
11734031_s_at	THAP5	2
11734031_s_at	THAP5P1	2
11734042_at	APOC2	3
11734042_at	APOC4	3
11734042_at	APOC4-APOC2	3
11734043_at	KIAA0408	2
11734043_at	SOGA3	2
11734144_s_at	LRRC37A	2
11734144_s_at	LRRC37A2	2
11734269_a_at	HYDIN	2
11734269_a_at	HYDIN2	2
11734274_a_at	LOC101930115	2
11734274_a_at	VWA3A	2
11734284_a_at	CSAG2	2
11734284_a_at	CSAG3	2
11734368_s_at	DMRTC1	2
11734368_s_at	DMRTC1B	2
11734460_s_at	RFPL2	2
11734460_s_at	RFPL3	2
11734468_x_at	LOC101929991	2
11734468_x_at	ZNF826P	2
11734492_s_at	H2AFB1	3
11734492_s_at	H2AFB2	3
11734492_s_at	H2AFB3	3
11734504_a_at	ZNF177	2
11734504_a_at	ZNF559-ZNF177	2
11734535_s_at	SPATA31A1	5
11734535_s_at	SPATA31A3	5
11734535_s_at	SPATA31A5	5
11734535_s_at	SPATA31A6	5
11734535_s_at	SPATA31A7	5
11734553_s_at	ANXA8	3
11734553_s_at	ANXA8L1	3
11734553_s_at	LINC00842	3
11734563_s_at	FRMPD2	3
11734563_s_at	FRMPD2B	3
11734563_s_at	LOC101930006	3
11734566_a_at	FAM188B	2
11734566_a_at	INMT-FAM188B	2
11734586_s_at	BAGE2	6
11734586_s_at	BAGE3	6
11734586_s_at	BAGE4	6
11734586_s_at	BAGE5	6
11734586_s_at	KMT2C	6
11734586_s_at	LOC105378260	6
11734591_x_at	GTF2IRD2	2
11734591_x_at	GTF2IRD2B	2
11734601_at	TAS2R43	2
11734601_at	TAS2R45	2
11734625_s_at	TRIM49	3
11734625_s_at	TRIM49B	3
11734625_s_at	TRIM49C	3
11734626_s_at	PRY	4
11734626_s_at	PRY2	4
11734626_s_at	PRYP3	4
11734626_s_at	PRYP4	4
11734657_s_at	SLC2A14	2
11734657_s_at	SLC2A3	2
11734696_x_at	GOLGA8A	2
11734696_x_at	GOLGA8B	2
11734709_x_at	CSH1	3
11734709_x_at	CSH2	3
11734709_x_at	CSHL1	3
11734718_s_at	FAM45A	2
11734718_s_at	FAM45B	2
11734747_a_at	C4B	2
11734747_a_at	C4B_2	2
11734748_s_at	LOC100507547	2
11734748_s_at	PRRT1	2
11734912_s_at	ZNF443	2
11734912_s_at	ZNF799	2
11734941_x_at	FAM212B	2
11734941_x_at	LOC101928718	2
11735026_at	LOC105369261	2
11735026_at	SPN	2
11735043_s_at	CDRT1	2
11735043_s_at	FBXW10	2
11735173_a_at	SNRPN	2
11735173_a_at	SNURF	2
11735324_s_at	FAM72A	4
11735324_s_at	FAM72B	4
11735324_s_at	FAM72C	4
11735324_s_at	FAM72D	4
11735345_at	C1QTNF5	2
11735345_at	MFRP	2
11735359_a_at	LOC101060521	2
11735359_a_at	POLR3E	2
11735380_s_at	LOC102725117	3
11735380_s_at	OR2A4	3
11735380_s_at	OR2A7	3
11735394_s_at	XCL1	2
11735394_s_at	XCL2	2
11735403_at	KIAA0754	2
11735403_at	MACF1	2
11735456_s_at	OPN1LW	4
11735456_s_at	OPN1MW	4
11735456_s_at	OPN1MW2	4
11735456_s_at	OPN1MW3	4
11735612_s_at	GOLGA8CP	5
11735612_s_at	GOLGA8DP	5
11735612_s_at	GOLGA8EP	5
11735612_s_at	GOLGA8F	5
11735612_s_at	GOLGA8G	5
11735703_at	MT1A	2
11735703_at	MT1P3	2
11735766_at	C16orf54	2
11735766_at	LOC105369277	2
11735772_s_at	LOC440040	4
11735772_s_at	TRIM48	4
11735772_s_at	TRIM49D1	4
11735772_s_at	TRIM49D2	4
11735821_s_at	AQP12A	2
11735821_s_at	AQP12B	2
11735869_s_at	TRIM64	3
11735869_s_at	TRIM64B	3
11735869_s_at	TRIM64EP	3
11735893_s_at	MBD3L2	4
11735893_s_at	MBD3L3	4
11735893_s_at	MBD3L4	4
11735893_s_at	MBD3L5	4
11735896_s_at	DEFB106A	2
11735896_s_at	DEFB106B	2
11735901_s_at	PRAMEF11	8
11735901_s_at	PRAMEF15	8
11735901_s_at	PRAMEF25	8
11735901_s_at	PRAMEF26	8
11735901_s_at	PRAMEF4	8
11735901_s_at	PRAMEF5	8
11735901_s_at	PRAMEF6	8
11735901_s_at	PRAMEF9	8
11735913_s_at	TNXA	2
11735913_s_at	TNXB	2
11735917_s_at	CDY1	4
11735917_s_at	CDY1B	4
11735917_s_at	CDY2A	4
11735917_s_at	CDY2B	4
11735924_s_at	KRTAP12-1	2
11735924_s_at	KRTAP12-2	2
11735931_s_at	FRG2	5
11735931_s_at	FRG2B	5
11735931_s_at	FRG2C	5
11735931_s_at	FRG2EP	5
11735931_s_at	LOC651959	5
11735935_s_at	USP17L10	22
11735935_s_at	USP17L11	22
11735935_s_at	USP17L12	22
11735935_s_at	USP17L13	22
11735935_s_at	USP17L14P	22
11735935_s_at	USP17L15	22
11735935_s_at	USP17L17	22
11735935_s_at	USP17L18	22
11735935_s_at	USP17L19	22
11735935_s_at	USP17L2	22
11735935_s_at	USP17L20	22
11735935_s_at	USP17L21	22
11735935_s_at	USP17L22	22
11735935_s_at	USP17L24	22
11735935_s_at	USP17L25	22
11735935_s_at	USP17L26	22
11735935_s_at	USP17L27	22
11735935_s_at	USP17L28	22
11735935_s_at	USP17L29	22
11735935_s_at	USP17L30	22
11735935_s_at	USP17L5	22
11735935_s_at	USP17L9P	22
11735950_s_at	BPY2	3
11735950_s_at	BPY2B	3
11735950_s_at	BPY2C	3
11735966_s_at	NUTM2A	4
11735966_s_at	NUTM2B	4
11735966_s_at	NUTM2D	4
11735966_s_at	NUTM2E	4
11736066_x_at	HYPK	2
11736066_x_at	SERF2-C15ORF63	2
11736214_x_at	STAG3L1	3
11736214_x_at	STAG3L2	3
11736214_x_at	STAG3L3	3
11736221_a_at	CCDC103	2
11736221_a_at	FAM187A	2
11736537_a_at	RHCE	2
11736537_a_at	RHD	2
11736628_s_at	ARHGEF34P	3
11736628_s_at	ARHGEF35	3
11736628_s_at	ARHGEF5	3
11736648_at	UGT2B15	2
11736648_at	UGT2B17	2
11736767_at	LOC101929777	2
11736767_at	WNT3	2
11737001_at	CHRNA4	2
11737001_at	LOC102723788	2
11737106_at	ARL17B	3
11737106_at	LOC100294341	3
11737106_at	LOC100996709	3
11737220_at	GALNT8	2
11737220_at	KCNA6	2
11737229_s_at	TGIF2LX	2
11737229_s_at	TGIF2LY	2
11737246_s_at	RALGAPA1	2
11737246_s_at	RALGAPA1P	2
11737289_at	FLJ44635	2
11737289_at	NHSL2	2
11737315_at	LOC102724488	2
11737315_at	SYT15	2
11737378_s_at	LOC100233156	4
11737378_s_at	LOC105379554	4
11737378_s_at	MAFIP	4
11737378_s_at	TEKT4P2	4
11737400_s_at	EPPIN-WFDC6	2
11737400_s_at	WFDC6	2
11737436_at	TXNRD3	2
11737436_at	TXNRD3NB	2
11737478_s_at	RBMY1A1	6
11737478_s_at	RBMY1B	6
11737478_s_at	RBMY1D	6
11737478_s_at	RBMY1E	6
11737478_s_at	RBMY1F	6
11737478_s_at	RBMY1J	6
11737566_s_at	C1QTNF9	2
11737566_s_at	C1QTNF9B	2
11737634_a_at	UGT2A1	2
11737634_a_at	UGT2A2	2
11737689_x_at	SPDYE2	3
11737689_x_at	SPDYE2B	3
11737689_x_at	SPDYE6	3
11737705_s_at	LOC105370720	2
11737705_s_at	LOC441956	2
11737729_at	ZNF705A	2
11737729_at	ZNF705E	2
11737730_s_at	ZNF705D	2
11737730_s_at	ZNF705G	2
11737832_x_at	KIR2DL2	7
11737832_x_at	KIR2DS1	7
11737832_x_at	KIR2DS2	7
11737832_x_at	KIR2DS4	7
11737832_x_at	KIR2DS5	7
11737832_x_at	LOC105379650	7
11737832_x_at	LOC105379662	7
11737842_x_at	SNX29P1	2
11737842_x_at	SNX29P2	2
11737843_x_at	SMIM11A	2
11737843_x_at	SMIM11B	2
11737971_x_at	ZNF321P	2
11737971_x_at	ZNF816-ZNF321P	2
11737986_s_at	ARHGAP11B	2
11737986_s_at	LOC100288637	2
11738016_at	LOC102030688	4
11738016_at	TEX28	4
11738016_at	TEX28P1	4
11738016_at	TEX28P2	4
11738058_s_at	HIST1H2AD	2
11738058_s_at	HIST1H3D	2
11738080_x_at	ANKRD20A1	4
11738080_x_at	ANKRD20A2	4
11738080_x_at	ANKRD20A3	4
11738080_x_at	ANKRD20A4	4
11738181_s_at	CNTNAP3	5
11738181_s_at	CNTNAP3B	5
11738181_s_at	CNTNAP3P2	5
11738181_s_at	LOC100289279	5
11738181_s_at	LOC105369234	5
11738211_at	DCDC1	2
11738211_at	DCDC5	2
11738228_s_at	ERV3-1	2
11738228_s_at	ZNF117	2
11738258_at	CXorf49	2
11738258_at	CXorf49B	2
11738341_at	MAGEA10-MAGEA5	2
11738341_at	MAGEA5	2
11738356_s_at	OR4N2	2
11738356_s_at	OR4N3P	2
11738359_at	LOC101805491	2
11738359_at	TMEM247	2
11738387_s_at	IFNL2	2
11738387_s_at	IFNL3	2
11738388_s_at	IFNA1	2
11738388_s_at	IFNA13	2
11738460_at	NUTM2F	2
11738460_at	NUTM2G	2
11738482_s_at	OR6B2	2
11738482_s_at	OR6B3	2
11738493_s_at	OR4F17	3
11738493_s_at	OR4F4	3
11738493_s_at	OR4F5	3
11738502_s_at	OR2L3	2
11738502_s_at	OR2L8	2
11738504_s_at	OR4F16	5
11738504_s_at	OR4F21	5
11738504_s_at	OR4F29	5
11738504_s_at	OR4F3	5
11738504_s_at	OR4F8P	5
11738554_s_at	XKRY	2
11738554_s_at	XKRY2	2
11738604_at	DEFB107A	2
11738604_at	DEFB107B	2
11738646_at	FAM153A	4
11738646_at	FAM153B	4
11738646_at	LOC100507387	4
11738646_at	LOC105377751	4
11738654_s_at	LOC101930165	7
11738654_s_at	LOC101930171	7
11738654_s_at	LOC102725060	7
11738654_s_at	LOC105369241	7
11738654_s_at	TCEB3C	7
11738654_s_at	TCEB3CL	7
11738654_s_at	TCEB3CL2	7
11738677_a_at	OR8G1	2
11738677_a_at	OR8G5	2
11738690_s_at	OR52I1	2
11738690_s_at	OR52I2	2
11738701_s_at	OR11H1	3
11738701_s_at	OR11H12	3
11738701_s_at	OR11H2	3
11738714_s_at	OR2T12	4
11738714_s_at	OR2T32P	4
11738714_s_at	OR2T33	4
11738714_s_at	OR2T8	4
11738720_s_at	OR2T3	2
11738720_s_at	OR2T34	2
11738726_s_at	OR2T2	2
11738726_s_at	OR2T35	2
11738740_s_at	OR10G7	2
11738740_s_at	OR10G8	2
11738746_s_at	OR2T29	2
11738746_s_at	OR2T5	2
11738929_at	OR9G1	2
11738929_at	OR9G9	2
11738975_at	DEFB130	2
11738975_at	LOC100133267	2
11738976_x_at	DEFB131	2
11738976_x_at	LOC105369240	2
11739269_s_at	LOC102723432	2
11739269_s_at	LOC646214	2
11739295_a_at	ICOSLG	2
11739295_a_at	LOC102723996	2
11739409_s_at	LOC101929815	2
11739409_s_at	LOC105379278	2
11739422_s_at	LOC102724229	3
11739422_s_at	RASA4	3
11739422_s_at	RASA4B	3
11739448_s_at	ROCK1	2
11739448_s_at	ROCK1P1	2
11739481_x_at	H3F3A	2
11739481_x_at	H3F3AP4	2
11739529_x_at	PLGLB1	2
11739529_x_at	PLGLB2	2
11739549_s_at	LOC102724250	3
11739549_s_at	NBPF1	3
11739549_s_at	NBPF10	3
11739786_s_at	IGF2	2
11739786_s_at	INS-IGF2	2
11739850_s_at	CHRFAM7A	3
11739850_s_at	CHRNA7	3
11739850_s_at	LOC101929970	3
11739891_at	ARPC4-TTLL3	2
11739891_at	TTLL3	2
11739944_x_at	NBPF15	4
11739944_x_at	NBPF20	4
11739944_x_at	NBPF26	4
11739944_x_at	NBPF8	4
11740038_s_at	ANKRD36	3
11740038_s_at	ANKRD36B	3
11740038_s_at	ANKRD36C	3
11740084_x_at	LGALS9B	2
11740084_x_at	LGALS9C	2
11740413_x_at	VCX3A	2
11740413_x_at	VCX3B	2
11740443_a_at	CCDC39	2
11740443_a_at	LOC101928882	2
11740458_a_at	TRIM39	2
11740458_a_at	TRIM39-RPP21	2
11740538_at	SCGB1C1	2
11740538_at	SCGB1C2	2
11740652_x_at	NBPF11	4
11740652_x_at	NBPF12	4
11740652_x_at	NBPF25P	4
11740652_x_at	NBPF9	4
11740808_s_at	PRAMEF1	3
11740808_s_at	PRAMEF13	3
11740808_s_at	PRAMEF14	3
11740818_s_at	TCP10	2
11740818_s_at	TCP10L2	2
11741037_a_at	GPR89A	2
11741037_a_at	GPR89B	2
11741115_s_at	CYP3A7	2
11741115_s_at	CYP3A7-CYP3A51P	2
11741324_s_at	TRIM51	3
11741324_s_at	TRIM51BP	3
11741324_s_at	TRIM51EP	3
11741396_s_at	GGT1	9
11741396_s_at	GGT2	9
11741396_s_at	GGT3P	9
11741396_s_at	GGTLC1	9
11741396_s_at	GGTLC2	9
11741396_s_at	GGTLC3	9
11741396_s_at	GGTLC5P	9
11741396_s_at	LOC102724197	9
11741396_s_at	LOC102724823	9
11741413_a_at	FAM101A	2
11741413_a_at	ZNF664-FAM101A	2
11741501_s_at	FAM133B	3
11741501_s_at	FAM133DP	3
11741501_s_at	LOC100421561	3
11741523_x_at	SLC35G4	2
11741523_x_at	SLC35G5	2
11741551_x_at	GOLGA6A	4
11741551_x_at	GOLGA6B	4
11741551_x_at	GOLGA6C	4
11741551_x_at	GOLGA6D	4
11741715_x_at	POTEG	2
11741715_x_at	POTEM	2
11741782_s_at	TSPY1	6
11741782_s_at	TSPY10	6
11741782_s_at	TSPY2	6
11741782_s_at	TSPY3	6
11741782_s_at	TSPY4	6
11741782_s_at	TSPY8	6
11741828_x_at	OR2A1	2
11741828_x_at	OR2A42	2
11741830_s_at	RFPL4A	2
11741830_s_at	RFPL4AL1	2
11741833_a_at	KLHL23	2
11741833_a_at	PHOSPHO2-KLHL23	2
11741898_x_at	KIR2DS3	3
11741898_x_at	LOC102725023	3
11741898_x_at	LOC105369139	3
11741900_x_at	KIR2DL1	3
11741900_x_at	KIR2DL3	3
11741900_x_at	LOC105379645	3
11741901_x_at	KIR2DL5A	2
11741901_x_at	KIR2DL5B	2
11741905_at	DEFB105A	2
11741905_at	DEFB105B	2
11741991_at	PRAMEF16	2
11741991_at	PRAMEF17	2
11741998_s_at	OR5L1	2
11741998_s_at	OR5L2	2
11742094_a_at	SCLY	2
11742094_a_at	UBE2F-SCLY	2
11742115_a_at	GLYATL1	2
11742115_a_at	LOC100287413	2
11742170_s_at	CDRT15	2
11742170_s_at	CDRT15P1	2
11742182_x_at	POTEE	4
11742182_x_at	POTEF	4
11742182_x_at	POTEI	4
11742182_x_at	POTEJ	4
11742228_s_at	SUPT20HL1	2
11742228_s_at	SUPT20HL2	2
11742302_at	1060P11.3	2
11742302_at	KIR3DP1	2
11742333_s_at	OR4M1	2
11742333_s_at	OR4M2	2
11742369_s_at	OR51A2	2
11742369_s_at	OR51A4	2
11742373_s_at	KRTAP4-7	2
11742373_s_at	LOC100996750	2
11742385_s_at	OR8B2	2
11742385_s_at	OR8B3	2
11742410_s_at	HIST2H3A	4
11742410_s_at	HIST2H3C	4
11742410_s_at	HIST2H3D	4
11742410_s_at	HIST2H3PS2	4
11742452_s_at	MAGED4	2
11742452_s_at	MAGED4B	2
11742498_x_at	FAM86B1	3
11742498_x_at	FAM86B2	3
11742498_x_at	FAM86KP	3
11742564_s_at	LOC101927079	5
11742564_s_at	LOC102723532	5
11742564_s_at	LOC105369274	5
11742564_s_at	LOC727924	5
11742564_s_at	OR4N4	5
11742591_s_at	OR2M1P	2
11742591_s_at	OR2M3	2
11742597_s_at	OR8H2	2
11742597_s_at	OR8H3	2
11742642_x_at	ANKRD20A8P	8
11742642_x_at	LOC101059935	8
11742642_x_at	LOC101060026	8
11742642_x_at	LOC102723462	8
11742642_x_at	LOC102725070	8
11742642_x_at	LOC102725104	8
11742642_x_at	LOC105379252	8
11742642_x_at	LOC644249	8
11742654_s_at	SPACA5	2
11742654_s_at	SPACA5B	2
11742657_x_at	HIST2H2AA3	2
11742657_x_at	HIST2H2AA4	2
11742669_s_at	HIST2H4A	2
11742669_s_at	HIST2H4B	2
11742858_s_at	WBP11	2
11742858_s_at	WBP11P1	2
11742875_at	C18orf32	2
11742875_at	RPL17-C18orf32	2
11742888_s_at	GCSH	2
11742888_s_at	LOC729080	2
11742956_a_at	ITFG2	2
11742956_a_at	LOC100507424	2
11743008_a_at	ARHGEF1	2
11743008_a_at	LOC100505585	2
11743017_s_at	PMS2	2
11743017_s_at	PMS2CL	2
11743120_s_at	EIF4A1	2
11743120_s_at	SENP3-EIF4A1	2
11743125_a_at	CRYAA	2
11743125_a_at	LOC102724652	2
11743207_s_at	DEFB108B	3
11743207_s_at	DEFB108P1	3
11743207_s_at	DEFB108P2	3
11743218_s_at	RAET1K	2
11743218_s_at	ULBP3	2
11743241_s_at	LINC01198	3
11743241_s_at	LOC101927016	3
11743241_s_at	LOC647264	3
11743395_s_at	BMI1	2
11743395_s_at	COMMD3-BMI1	2
11743454_s_at	ST13	4
11743454_s_at	ST13P11	4
11743454_s_at	ST13P4	4
11743454_s_at	ST13P5	4
11743575_a_at	CCDC180	2
11743575_a_at	LOC100499484-C9ORF174	2
11743684_a_at	GPR21	2
11743684_a_at	RABGAP1	2
11743770_at	MAB21L1	2
11743770_at	MIR548F5	2
11744025_a_at	EGLN2	2
11744025_a_at	RAB4B-EGLN2	2
11744078_s_at	SDHA	2
11744078_s_at	SDHAP3	2
11744079_s_at	PRSS2	2
11744079_s_at	PRSS3P2	2
11744122_s_at	FAM156A	2
11744122_s_at	FAM156B	2
11744210_s_at	RBM14-RBM4	2
11744210_s_at	RBM4	2
11744285_a_at	CBS	2
11744285_a_at	CBSL	2
11744621_s_at	LOC100130093	2
11744621_s_at	SNAP47	2
11744629_at	MGC27345	2
11744629_at	RBM28	2
11744644_s_at	HSFX1	2
11744644_s_at	HSFX2	2
11744730_s_at	DLEU2	2
11744730_s_at	DLEU2L	2
11744805_x_at	DHRS4	2
11744805_x_at	DHRS4L2	2
11744830_x_at	LOC105369248	5
11744830_x_at	NPIPB11	5
11744830_x_at	NPIPB3	5
11744830_x_at	NPIPB4	5
11744830_x_at	NPIPB5	5
11744904_a_at	ORM1	2
11744904_a_at	ORM2	2
11744964_a_at	MIR17HG	6
11744964_a_at	MIR18A	6
11744964_a_at	MIR19A	6
11744964_a_at	MIR19B1	6
11744964_a_at	MIR20A	6
11744964_a_at	MIR92A1	6
11745033_a_at	LINC00313	2
11745033_a_at	LOC102724385	2
11745035_x_at	LINC01296	2
11745035_x_at	LOC101929839	2
11745138_s_at	FAM223A	2
11745138_s_at	FAM223B	2
11745244_x_at	IGHG1	5
11745244_x_at	IGHG2	5
11745244_x_at	IGHG3	5
11745244_x_at	IGHM	5
11745244_x_at	IGHV4-31	5
11745317_at	ALDH1A3	2
11745317_at	LOC105369201	2
11745569_s_at	LOC100996732	4
11745569_s_at	LOC645166	4
11745569_s_at	LOC654342	4
11745569_s_at	LSP1P3	4
11745704_s_at	PMCHL1	2
11745704_s_at	PMCHL2	2
11745978_s_at	SMG1P1	2
11745978_s_at	SMG1P3	2
11746013_s_at	NCF1	3
11746013_s_at	NCF1B	3
11746013_s_at	NCF1C	3
11746022_s_at	TDGF1	2
11746022_s_at	TDGF1P3	2
11746024_at	LOC100293044	2
11746024_at	LOC105372488	2
11746076_a_at	PRAP1	2
11746076_a_at	ZNF511-PRAP1	2
11746146_s_at	LOC101928422	2
11746146_s_at	LOC154761	2
11746150_s_at	AGAP9	6
11746150_s_at	BMS1P4	6
11746150_s_at	BMS1P5	6
11746150_s_at	BMS1P6	6
11746150_s_at	BMS1P7	6
11746150_s_at	LOC105369270	6
11746188_s_at	RPL14	2
11746188_s_at	RPL14P1	2
11746233_s_at	PI4KAP1	2
11746233_s_at	PI4KAP2	2
11746294_s_at	HERC2P2	3
11746294_s_at	HERC2P9	3
11746294_s_at	LOC105369242	3
11746297_s_at	LOC102724562	4
11746297_s_at	LOC105369252	4
11746297_s_at	MST1L	4
11746297_s_at	MST1P2	4
11746373_s_at	RRN3P1	2
11746373_s_at	RRN3P2	2
11746484_s_at	FAR2P2	2
11746484_s_at	FAR2P3	2
11746538_s_at	SPATA31C1	2
11746538_s_at	SPATA31C2	2
11746941_s_at	FAM138A	5
11746941_s_at	FAM138B	5
11746941_s_at	FAM138C	5
11746941_s_at	FAM138D	5
11746941_s_at	FAM138F	5
11747052_s_at	GALNT4	2
11747052_s_at	POC1B-GALNT4	2
11747077_x_at	EEF1A1P5	3
11747077_x_at	SNORD141A	3
11747077_x_at	SNORD141B	3
11747198_x_at	LOC100288778	8
11747198_x_at	LOC102723897	8
11747198_x_at	WASH1	8
11747198_x_at	WASH2P	8
11747198_x_at	WASH3P	8
11747198_x_at	WASH4P	8
11747198_x_at	WASH6P	8
11747198_x_at	WASH7P	8
11747571_s_at	LINC01061	2
11747571_s_at	LOC729218	2
11747712_s_at	LOC101060429	2
11747712_s_at	LOC101930075	2
11747729_s_at	SDHAP1	2
11747729_s_at	SDHAP2	2
11747825_a_at	ACAD11	2
11747825_a_at	NPHP3-ACAD11	2
11747907_s_at	PDZK1	2
11747907_s_at	PDZK1P1	2
11748039_s_at	LOC440434	3
11748039_s_at	TBC1D3	3
11748039_s_at	TBC1D3E	3
11748105_a_at	ASB3	2
11748105_a_at	GPR75-ASB3	2
11748256_s_at	LOC202181	2
11748256_s_at	SIMC1	2
11748302_x_at	GUSBP9	4
11748302_x_at	LOC653080	4
11748302_x_at	SMA4	4
11748302_x_at	SMA5	4
11748328_s_at	KRT16	4
11748328_s_at	KRT16P1	4
11748328_s_at	KRT16P2	4
11748328_s_at	KRT16P3	4
11748463_a_at	ITGB6	2
11748463_a_at	LOC100505984	2
11748493_s_at	FAM230A	8
11748493_s_at	FAM230B	8
11748493_s_at	LOC100996335	8
11748493_s_at	LOC100996415	8
11748493_s_at	LOC105369189	8
11748493_s_at	LOC105369191	8
11748493_s_at	LOC642643	8
11748493_s_at	LOC729461	8
11748501_a_at	LOC105376948	2
11748501_a_at	SSUH2	2
11749979_s_at	GTF2H2	4
11749979_s_at	GTF2H2B	4
11749979_s_at	GTF2H2C	4
11749979_s_at	GTF2H2C_2	4
11750283_at	OFD1P6Y	3
11750283_at	TTTY9A	3
11750283_at	TTTY9B	3
11750499_s_at	ZNF705B	2
11750499_s_at	ZNF705CP	2
11751341_s_at	PRAMEF34P	2
11751341_s_at	PRAMEF36P	2
11751345_at	GOLGA8J	3
11751345_at	GOLGA8K	3
11751345_at	GOLGA8N	3
11751379_s_at	USP17L1	5
11751379_s_at	USP17L3	5
11751379_s_at	USP17L4	5
11751379_s_at	USP17L6P	5
11751379_s_at	USP17L8	5
11752589_a_at	CH17-360D5.1	3
11752589_a_at	LOC105379861	3
11752589_a_at	NPY4R	3
11752705_s_at	FAM225A	2
11752705_s_at	FAM225B	2
11752762_s_at	LOC100288966	6
11752762_s_at	LOC102723502	6
11752762_s_at	POTEB	6
11752762_s_at	POTEB2	6
11752762_s_at	POTEB3	6
11752762_s_at	POTED	6
11752909_s_at	FAM66B	2
11752909_s_at	FAM66E	2
11752935_s_at	INTS4P1	2
11752935_s_at	INTS4P2	2
11753065_a_at	LOC101928160	2
11753065_a_at	ZNF707	2
11753103_s_at	TCP11X1	2
11753103_s_at	TCP11X2	2
11753194_s_at	LINC00893	2
11753194_s_at	LINC00894	2
11753536_at	LOC105372990	2
11753536_at	LOC646513	2
11753586_s_at	CXADRP2	3
11753586_s_at	CXADRP3	3
11753586_s_at	LOC102723478	3
11753633_s_at	TTTY8	2
11753633_s_at	TTTY8B	2
11753637_x_at	RPS12	2
11753637_x_at	SNORA33	2
11753641_at	TTTY6	2
11753641_at	TTTY6B	2
11753832_x_at	IGKV3-20	2
11753832_x_at	IGKV3D-20	2
11753837_s_at	DEFB109P1	2
11753837_s_at	DEFB109P1B	2
11754142_x_at	LOC728026	2
11754142_x_at	PTMA	2
11754145_x_at	IGKV1-27	6
11754145_x_at	IGKV1D-27	6
11754145_x_at	IGKV1OR1-1	6
11754145_x_at	IGKV1OR10-1	6
11754145_x_at	IGKV1OR2-118	6
11754145_x_at	IGKV1OR22-5	6
11754249_at	WHAMMP2	2
11754249_at	WHAMMP3	2
11754267_x_at	HBA1	2
11754267_x_at	HBA2	2
11754453_s_at	NUDT4P1	2
11754453_s_at	NUDT4P2	2
11754513_a_at	SNHG11	2
11754513_a_at	SNORA60	2
11754543_s_at	CH507-42P11.6	2
11754543_s_at	LINC00319	2
11754544_s_at	ZDHHC11	2
11754544_s_at	ZDHHC11B	2
11754634_a_at	SPATA31D4	2
11754634_a_at	SPATA31D5P	2
11755150_x_at	CCL3P1	10
11755150_x_at	LOC101060389	10
11755150_x_at	TBC1D3B	10
11755150_x_at	TBC1D3C	10
11755150_x_at	TBC1D3F	10
11755150_x_at	TBC1D3G	10
11755150_x_at	TBC1D3H	10
11755150_x_at	TBC1D3I	10
11755150_x_at	TBC1D3K	10
11755150_x_at	TBC1D3L	10
11755169_s_at	RP9	2
11755169_s_at	RP9P	2
11755269_a_at	MRPS24	2
11755269_a_at	URGCP-MRPS24	2
11755272_s_at	FAM90A1	8
11755272_s_at	FAM90A24P	8
11755272_s_at	FAM90A25P	8
11755272_s_at	FAM90A26	8
11755272_s_at	FAM90A2P	8
11755272_s_at	FAM90A7P	8
11755272_s_at	FAM90A9P	8
11755272_s_at	LOC105369276	8
11755310_s_at	ACOT1	2
11755310_s_at	ACOT2	2
11755317_x_at	CBWD2	4
11755317_x_at	CBWD5	4
11755317_x_at	CBWD6	4
