ID	gene_symbol	n
11717556_s_at	POM121	3
11717556_s_at	POM121B	3
11717556_s_at	POM121C	3
11717654_a_at	CMC4	2
11717654_a_at	MTCP1	2
11717747_s_at	MCTS1	2
11717747_s_at	MCTS2P	2
11717914_a_at	BIVM-ERCC5	2
11717914_a_at	ERCC5	2
11717916_s_at	CKMT1A	2
11717916_s_at	CKMT1B	2
11717946_x_at	LOC101928143	2
11717946_x_at	NUMB	2
11717966_s_at	TYW1	2
11717966_s_at	TYW1B	2
11717988_s_at	C17orf49	2
11717988_s_at	RNASEK-C17orf49	2
11718033_a_at	CHURC1-FNTB	2
11718033_a_at	FNTB	2
11718063_a_at	C11orf98	2
11718063_a_at	LBHD1	2
11718137_a_at	LOC105372824	2
11718137_a_at	PDXK	2
11718163_a_at	UGT1A1	9
11718163_a_at	UGT1A10	9
11718163_a_at	UGT1A3	9
11718163_a_at	UGT1A4	9
11718163_a_at	UGT1A5	9
11718163_a_at	UGT1A6	9
11718163_a_at	UGT1A7	9
11718163_a_at	UGT1A8	9
11718163_a_at	UGT1A9	9
11718203_a_at	PRICKLE4	2
11718203_a_at	TOMM6	2
11718232_s_at	KTI12	2
11718232_s_at	TXNDC12	2
11718304_s_at	MYO18A	2
11718304_s_at	TIAF1	2
11718490_s_at	FABP5	2
11718490_s_at	FABP5P2	2
11718516_s_at	AK6	2
11718516_s_at	TAF9	2
11718537_s_at	FAHD2A	3
11718537_s_at	FAHD2B	3
11718537_s_at	FAHD2CP	3
11718657_a_at	MIR21	2
11718657_a_at	VMP1	2
11718843_s_at	DNAJC25-GNG10	2
11718843_s_at	GNG10	2
11718844_s_at	BCL2L2-PABPN1	2
11718844_s_at	PABPN1	2
11718932_a_at	FKBP1A-SDCBP2	2
11718932_a_at	SDCBP2	2
11718934_a_at	C4A	2
11718934_a_at	STK19	2
11718982_s_at	CCL4	3
11718982_s_at	CCL4L1	3
11718982_s_at	CCL4L2	3
11719212_a_at	LOC100996763	4
11719212_a_at	NBPF19	4
11719212_a_at	NOTCH2	4
11719212_a_at	NOTCH2NL	4
11719213_s_at	LOC101929796	2
11719213_s_at	NBPF14	2
11719215_a_at	FAM47E-STBD1	2
11719215_a_at	STBD1	2
11719280_a_at	ARHGAP4	2
11719280_a_at	NAA10	2
11719462_x_at	HNRNPA1	2
11719462_x_at	HNRNPA1P10	2
11719500_s_at	SMN1	2
11719500_s_at	SMN2	2
11719568_s_at	KIAA2013	2
11719568_s_at	LOC102724984	2
11719865_s_at	ENO1	2
11719865_s_at	TMEM11	2
11719894_s_at	FAM91A1	2
11719894_s_at	LINC00869	2
11719908_a_at	GBA	2
11719908_a_at	GBAP1	2
11719909_s_at	MLLT10	2
11719909_s_at	PICALM	2
11719957_s_at	LOC441155	2
11719957_s_at	ZC3H11A	2
11719965_s_at	U2AF1	2
11719965_s_at	U2AF1L5	2
11719998_a_at	SYNJ2BP	2
11719998_a_at	SYNJ2BP-COX16	2
11720019_x_at	RTEL1	2
11720019_x_at	RTEL1-TNFRSF6B	2
11720042_a_at	RRP7A	2
11720042_a_at	RRP7BP	2
11720076_at	CDK3	3
11720076_at	TEN1	3
11720076_at	TEN1-CDK3	3
11720189_at	AP3S2	2
11720189_at	C15orf38-AP3S2	2
11720212_a_at	PPAN	2
11720212_a_at	PPAN-P2RY11	2
11720318_a_at	MROH7-TTC4	2
11720318_a_at	TTC4	2
11720344_s_at	C3orf62	2
11720344_s_at	USP4	2
11720364_a_at	GIMAP1-GIMAP5	2
11720364_a_at	GIMAP5	2
11720519_s_at	LOC100996724	2
11720519_s_at	PDE4DIP	2
11720638_a_at	ACBD6	2
11720638_a_at	LHX4-AS1	2
11720679_a_at	CKLF	2
11720679_a_at	CKLF-CMTM1	2
11720689_s_at	FAM195A	2
11720689_s_at	LOC100287175	2
11720809_x_at	MZT2B	2
11720809_x_at	PHGDH	2
11720866_a_at	AGO1	2
11720866_a_at	AGO3	2
11721118_a_at	ANKHD1-EIF4EBP3	2
11721118_a_at	EIF4EBP3	2
11721250_s_at	LOC150776	2
11721250_s_at	SMPD4	2
11721349_s_at	LOC102725067	7
11721349_s_at	LOC105372868	7
11721349_s_at	LOC105372935	7
11721349_s_at	LOC105372942	7
11721349_s_at	LOC105377182	7
11721349_s_at	LOC105379548	7
11721349_s_at	USP18	7
11721438_s_at	DEFA1	3
11721438_s_at	DEFA1B	3
11721438_s_at	DEFA3	3
11721509_s_at	LOC105370109	2
11721509_s_at	NUS1	2
11721525_s_at	BOLA2	3
11721525_s_at	BOLA2B	3
11721525_s_at	SMG1P2	3
11721535_a_at	AP1G2	2
11721535_a_at	JPH4	2
11721638_s_at	CES1	2
11721638_s_at	CES1P1	2
11721647_a_at	CTNND1	2
11721647_a_at	TMX2-CTNND1	2
11721669_a_at	KLHDC4	2
11721669_a_at	LOC105371397	2
11721721_a_at	MSH5	2
11721721_a_at	MSH5-SAPCD1	2
11721767_s_at	ATAD3A	2
11721767_s_at	ATAD3B	2
11721773_at	LOC339166	2
11721773_at	WSCD1	2
11721893_a_at	CHEK2	4
11721893_a_at	LOC101929031	4
11721893_a_at	LOC102723841	4
11721893_a_at	LOC102723890	4
11721936_a_at	CHN2	2
11721936_a_at	LOC101928168	2
11721939_a_at	ADORA2A	3
11721939_a_at	SPECC1L	3
11721939_a_at	SPECC1L-ADORA2A	3
11721944_x_at	RABL2A	2
11721944_x_at	RABL2B	2
11721975_s_at	TPSAB1	2
11721975_s_at	TPSB2	2
11722055_a_at	PLSCR3	2
11722055_a_at	TMEM256-PLSCR3	2
11722380_at	NUDT3	2
11722380_at	RPS10-NUDT3	2
11722404_s_at	MTHFS	2
11722404_s_at	ST20-MTHFS	2
11722537_at	MSANTD3-TMEFF1	2
11722537_at	TMEFF1	2
11722563_x_at	CYP51A1	2
11722563_x_at	LRRD1	2
11722581_a_at	LOC100630923	2
11722581_a_at	PRKRIP1	2
11722615_s_at	HCAR2	2
11722615_s_at	HCAR3	2
11722682_at	IRAK1	2
11722682_at	MECP2	2
11722692_x_at	LOC105369236	3
11722692_x_at	SLX1A	3
11722692_x_at	SLX1B	3
11722726_s_at	ZNF286A	2
11722726_s_at	ZNF286B	2
11722753_s_at	ISY1-RAB43	2
11722753_s_at	RAB43	2
11722814_s_at	RANBP2	8
11722814_s_at	RGPD1	8
11722814_s_at	RGPD2	8
11722814_s_at	RGPD3	8
11722814_s_at	RGPD4	8
11722814_s_at	RGPD5	8
11722814_s_at	RGPD6	8
11722814_s_at	RGPD8	8
11722824_x_at	PSG3	2
