gene_symbol	ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
FOLH1	11731959_x_at	-0.5034863820661029	3.765835848653464	-6.457707859056319	9.683300535823838e-7	0.01594355433223395	4.659262425452074
FOLH1B	11731959_x_at	-0.5034863820661029	3.765835848653464	-6.457707859056319	9.683300535823838e-7	0.01594355433223395	4.659262425452074
ESM1	11741353_a_at	-1.9988931641860566	6.241841369043554	-7.824084709631497	3.7865175223075545e-8	0.0018703503301438166	6.984511329333868
ESM1	11729647_s_at	-2.578352426764709	5.3414078701809125	-7.13818120335467	1.8714866655790146e-7	0.004622104192313772	5.858740111181296
